mu			dof_1		dof_2		dof_3		dof_4		dof_5		dof_6		dof_7		dof_8		dof_9		
1.000000	-0.412410	-0.185348	-0.412410	-0.185348	0.062419	-0.185348	-0.412410	-0.185348	-0.412410	
0.900000	-0.432100	-0.195128	-0.432100	-0.195128	0.065786	-0.195128	-0.432100	-0.195128	-0.432100	
0.800000	-0.454922	-0.206639	-0.454922	-0.206639	0.069764	-0.206639	-0.454922	-0.206639	-0.454922	
0.700000	-0.481809	-0.220463	-0.481809	-0.220463	0.074563	-0.220463	-0.481809	-0.220463	-0.481809	
0.600000	-0.514143	-0.237493	-0.514143	-0.237493	0.080513	-0.237493	-0.514143	-0.237493	-0.514143	
0.500000	-0.554069	-0.259200	-0.554069	-0.259200	0.088159	-0.259200	-0.554069	-0.259200	-0.554069	
0.400000	-0.605166	-0.288209	-0.605166	-0.288209	0.098501	-0.288209	-0.605166	-0.288209	-0.605166	
0.300000	-0.673986	-0.329823	-0.673986	-0.329823	0.113617	-0.329823	-0.673986	-0.329823	-0.673986	
0.200000	-0.774419	-0.397001	-0.774419	-0.397001	0.138855	-0.397001	-0.774419	-0.397001	-0.774419	
0.100000	-0.944928	-0.535203	-0.944928	-0.535203	0.195128	-0.535203	-0.944928	-0.535203	-0.944928	
